"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","677","UI renders correctly at mobile resolution (375x812)","src.tests.compatibility","Tue Jul 07 20:00:06 UTC 2026","passed","Tue Jul 07 20:00:07 UTC 2026","TestCrossBrowser","test_cross_browser","",""
"","345","Tax inclusive pricing","src.tests.functional","Tue Jul 07 20:04:38 UTC 2026","failed","Tue Jul 07 20:04:39 UTC 2026","TestTaxCalculations","test_tax_calculations","",""
"","30558","Refund reverses original payment entry","src.tests.integration","Tue Jul 07 20:08:16 UTC 2026","broken","Tue Jul 07 20:08:46 UTC 2026","TestPaymentIntegration","test_payment_integration","",""
"","710","Inventory report generation","src.tests.functional","Tue Jul 07 20:00:26 UTC 2026","passed","Tue Jul 07 20:00:27 UTC 2026","TestInventoryManagement","test_inventory","",""
"","0","Scan non-existent barcode shows no product","src.tests.functional","Tue Jul 07 20:00:18 UTC 2026","skipped","Tue Jul 07 20:00:18 UTC 2026","TestBarcodeScanning","test_barcode_scanning","",""
"","904","Login page renders in Chromium","src.tests.compatibility","Tue Jul 07 20:00:03 UTC 2026","passed","Tue Jul 07 20:00:04 UTC 2026","TestCrossBrowser","test_cross_browser","",""
"","0","Scan valid barcode finds matching product","src.tests.functional","Tue Jul 07 20:00:18 UTC 2026","skipped","Tue Jul 07 20:00:18 UTC 2026","TestBarcodeScanning","test_barcode_scanning","",""
"","0","Refund processed successfully","src.tests.functional","Tue Jul 07 20:00:28 UTC 2026","skipped","Tue Jul 07 20:00:28 UTC 2026","TestPosFullWorkflow","test_pos_full_workflow","",""
"","0","Search products in POS","src.tests.functional","Tue Jul 07 20:00:28 UTC 2026","skipped","Tue Jul 07 20:00:28 UTC 2026","TestPosFullWorkflow","test_pos_full_workflow","",""
"","0","Apply discount to order","src.tests.functional","Tue Jul 07 20:00:28 UTC 2026","skipped","Tue Jul 07 20:00:28 UTC 2026","TestPosFullWorkflow","test_pos_full_workflow","",""
"","0","Create product with stock tracking enabled","src.tests.functional","Tue Jul 07 20:00:25 UTC 2026","skipped","Tue Jul 07 20:00:25 UTC 2026","TestInventoryManagement","test_inventory","",""
"","0","Return with different reason codes","src.tests.functional","Tue Jul 07 20:02:45 UTC 2026","skipped","Tue Jul 07 20:02:45 UTC 2026","TestReturnsExchanges","test_returns_exchanges","",""
"","0","Multiple sequential orders in one session","src.tests.functional","Tue Jul 07 20:00:28 UTC 2026","skipped","Tue Jul 07 20:00:28 UTC 2026","TestPosFullWorkflow","test_pos_full_workflow","",""
"","1678","Login with demo user credentials","src.tests.functional","Tue Jul 07 20:00:16 UTC 2026","passed","Tue Jul 07 20:00:17 UTC 2026","TestAuthentication","test_auth","",""
"","0","Bank card payment completes successfully","src.tests.functional","Tue Jul 07 20:00:28 UTC 2026","skipped","Tue Jul 07 20:00:28 UTC 2026","TestMultiPayment","test_multi_payment","",""
"","0","Create a return for a completed sale","src.tests.functional","Tue Jul 07 20:02:45 UTC 2026","skipped","Tue Jul 07 20:02:45 UTC 2026","TestReturnsExchanges","test_returns_exchanges","",""
"","541","Product stock decreases after POS sale","src.tests.functional","Tue Jul 07 20:00:22 UTC 2026","passed","Tue Jul 07 20:00:23 UTC 2026","TestInventoryManagement","test_inventory","",""
"","5009","Empty order shows no receipt items","src.tests.functional","Tue Jul 07 20:02:25 UTC 2026","passed","Tue Jul 07 20:02:30 UTC 2026","TestReceiptVerification","test_receipt_verification","",""
"","30557","Standard tax rate applied to product sale","src.tests.functional","Tue Jul 07 20:02:59 UTC 2026","broken","Tue Jul 07 20:03:30 UTC 2026","TestTaxCalculations","test_tax_calculations","",""
"","0","Scan barcode adds product to order","src.tests.functional","Tue Jul 07 20:00:18 UTC 2026","skipped","Tue Jul 07 20:00:18 UTC 2026","TestBarcodeScanning","test_barcode_scanning","",""
"","0","Edit an existing product","src.tests.functional","Tue Jul 07 20:00:28 UTC 2026","skipped","Tue Jul 07 20:00:28 UTC 2026","TestProductManagement","test_product_management","",""
"","417","Login page displays in default language","src.tests.compatibility","Tue Jul 07 20:00:09 UTC 2026","passed","Tue Jul 07 20:00:09 UTC 2026","TestMultiCurrency","test_multi_currency","",""
"","602","Products display in stock after sale","src.tests.functional","Tue Jul 07 20:02:48 UTC 2026","passed","Tue Jul 07 20:02:49 UTC 2026","TestStockAlerts","test_stock_alerts","",""
"","0","POS interface renders in Chromium","src.tests.compatibility","Tue Jul 07 20:00:04 UTC 2026","skipped","Tue Jul 07 20:00:04 UTC 2026","TestCrossBrowser","test_cross_browser","",""
"","0","POS interface loads successfully","src.tests.functional","Tue Jul 07 20:00:28 UTC 2026","skipped","Tue Jul 07 20:00:28 UTC 2026","TestPosFullWorkflow","test_pos_full_workflow","",""
"","886","UI renders correctly at tablet resolution (768x1024)","src.tests.compatibility","Tue Jul 07 20:00:05 UTC 2026","passed","Tue Jul 07 20:00:06 UTC 2026","TestCrossBrowser","test_cross_browser","",""
"","561","Products are searchable by name","src.tests.functional","Tue Jul 07 20:02:51 UTC 2026","passed","Tue Jul 07 20:02:51 UTC 2026","TestStockAlerts","test_stock_alerts","",""
"","0","Return processed after POS session closed","src.tests.functional","Tue Jul 07 20:02:46 UTC 2026","broken","Tue Jul 07 20:02:46 UTC 2026","TestReturnsExchanges","test_returns_exchanges","",""
"","175","Login page displays correctly","src.tests.functional","Tue Jul 07 20:00:15 UTC 2026","passed","Tue Jul 07 20:00:15 UTC 2026","TestAuthentication","test_auth","",""
"","0","Search for a product","src.tests.functional","Tue Jul 07 20:00:28 UTC 2026","skipped","Tue Jul 07 20:00:28 UTC 2026","TestProductManagement","test_product_management","",""
"","30556","Multiple tax rates on single order","src.tests.functional","Tue Jul 07 20:04:46 UTC 2026","broken","Tue Jul 07 20:05:17 UTC 2026","TestTaxCalculations","test_tax_calculations","",""
"","30556","Split payment recorded to correct accounts","src.tests.integration","Tue Jul 07 20:07:23 UTC 2026","broken","Tue Jul 07 20:07:54 UTC 2026","TestPaymentIntegration","test_payment_integration","",""
"","0","Cash payment completes successfully","src.tests.functional","Tue Jul 07 20:00:28 UTC 2026","skipped","Tue Jul 07 20:00:28 UTC 2026","TestMultiPayment","test_multi_payment","",""
"","30558","Refunded product restores inventory","src.tests.integration","Tue Jul 07 20:09:11 UTC 2026","broken","Tue Jul 07 20:09:41 UTC 2026","TestPosInventoryIntegration","test_pos_inventory_integration","",""
"","0","Complete sale with bank/card payment","src.tests.functional","Tue Jul 07 20:00:28 UTC 2026","skipped","Tue Jul 07 20:00:28 UTC 2026","TestPosFullWorkflow","test_pos_full_workflow","",""
"","0","Multiple payment terminal support","src.tests.compatibility","Tue Jul 07 20:00:09 UTC 2026","skipped","Tue Jul 07 20:00:09 UTC 2026","TestPeripheralSimulation","test_peripheral_simulation","",""
"","549","POS sale reduces inventory stock in real-time","src.tests.integration","Tue Jul 07 20:09:03 UTC 2026","passed","Tue Jul 07 20:09:03 UTC 2026","TestPosInventoryIntegration","test_pos_inventory_integration","",""
"","0","Payment screen shows available payment methods","src.tests.functional","Tue Jul 07 20:00:28 UTC 2026","skipped","Tue Jul 07 20:00:28 UTC 2026","TestMultiPayment","test_multi_payment","",""
"","0","Set quantity on order line","src.tests.functional","Tue Jul 07 20:00:28 UTC 2026","skipped","Tue Jul 07 20:00:28 UTC 2026","TestPosFullWorkflow","test_pos_full_workflow","",""
"","2783","Admin user can login successfully","src.tests.functional","Tue Jul 07 20:00:09 UTC 2026","passed","Tue Jul 07 20:00:12 UTC 2026","TestAuthentication","test_auth","",""
"","0","Create a new product","src.tests.functional","Tue Jul 07 20:00:28 UTC 2026","skipped","Tue Jul 07 20:00:28 UTC 2026","TestProductManagement","test_product_management","",""
"","197","Database selection on multi-db setup","src.tests.functional","Tue Jul 07 20:00:18 UTC 2026","passed","Tue Jul 07 20:00:18 UTC 2026","TestAuthentication","test_auth","",""
"","30563","Cash payment recorded in accounting","src.tests.integration","Tue Jul 07 20:05:38 UTC 2026","broken","Tue Jul 07 20:06:09 UTC 2026","TestPaymentIntegration","test_payment_integration","",""
"","0","Partial return of multi-item order","src.tests.functional","Tue Jul 07 20:02:45 UTC 2026","skipped","Tue Jul 07 20:02:45 UTC 2026","TestReturnsExchanges","test_returns_exchanges","",""
"","30553","Zero-rated tax products","src.tests.functional","Tue Jul 07 20:03:51 UTC 2026","broken","Tue Jul 07 20:04:22 UTC 2026","TestTaxCalculations","test_tax_calculations","",""
"","0","POS interface currency displays correctly","src.tests.compatibility","Tue Jul 07 20:00:09 UTC 2026","skipped","Tue Jul 07 20:00:09 UTC 2026","TestMultiCurrency","test_multi_currency","",""
"","5704","Receipt handles multiple line items","src.tests.functional","Tue Jul 07 20:01:31 UTC 2026","passed","Tue Jul 07 20:01:37 UTC 2026","TestReceiptVerification","test_receipt_verification","",""
"","0","Complete a sale with multiple products","src.tests.functional","Tue Jul 07 20:00:28 UTC 2026","skipped","Tue Jul 07 20:00:28 UTC 2026","TestPosFullWorkflow","test_pos_full_workflow","",""
"","552","View product stock levels","src.tests.functional","Tue Jul 07 20:00:20 UTC 2026","passed","Tue Jul 07 20:00:20 UTC 2026","TestInventoryManagement","test_inventory","",""
"","0","Cash drawer integration signal","src.tests.compatibility","Tue Jul 07 20:00:09 UTC 2026","skipped","Tue Jul 07 20:00:09 UTC 2026","TestPeripheralSimulation","test_peripheral_simulation","",""
