"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"10","","0","General","18","0","General","0"
"4","","0","General","0","0","Return Processing","0"
"4","","0","Returns & Exchanges","0","0","General","0"
"4","","0","Returns & Exchanges","0","0","Return Processing","0"
"0","","0","General","1","0","Currency Display and Multi-Language Support","0"
"0","","0","Multi-Currency Compatibility","1","0","General","0"
"0","","0","Multi-Currency Compatibility","1","1","Currency Display and Multi-Language Support","0"
"0","","0","Compatibility","0","4","Peripheral Simulation","0"
"0","","0","General","4","0","Cross-Browser","0"
"0","","0","Compatibility","4","0","General","0"
"0","","0","Compatibility","4","1","Cross-Browser","0"
"0","","0","Barcode Scanning","0","5","Barcode Search and Product Lookup","0"
"0","","0","Multi-Payment Methods","0","5","Payment Method Handling and Split Payments","0"
"0","","0","POS Workflow","0","10","Sales Transactions","0"
"6","","0","General","0","0","CRUD Operations","0"
"6","","0","Product Management","0","0","General","0"
"6","","0","Product Management","0","0","CRUD Operations","0"
"0","","0","Inventory Management","3","2","Stock Control","0"
"0","","0","General","5","0","Login","0"
"0","","0","Authentication","5","0","General","0"
"0","","0","Authentication","5","0","Login","0"
"0","","0","General","3","0","Stock Control","0"
"0","","0","Inventory Management","3","0","General","0"
"0","","0","General","5","0","Receipt Generation and Content Validation","0"
"0","","0","Receipt Verification","5","0","General","0"
"0","","0","Receipt Verification","5","0","Receipt Generation and Content Validation","0"
